Confirmed,State,Special Id,Production,Species,No Measure Value
10-Oct-25,Idaho,ID 112,Dairy Milking Cows,Cattle,
15-Sep-25,Nebraska,NE 001,Dairy Milking Cows,Cattle,
02-Sep-25,Texas,TX 030,Dairy Milking Cows,Cattle,
01-Aug-25,California,CA 777,Dairy Milking Cows,Cattle,
21-Jul-25,California,CA 775,Dairy Milking Cows,Cattle,
,,CA 776,Dairy Milking Cows,Cattle,
09-Jul-25,California,CA 774,Dairy Milking Cows,Cattle,
30-Jun-25,California,CA 765,Dairy Milking Cows,Cattle,
24-Jun-25,Arizona,AZ 005,Dairy Milking Cows,Cattle,
03-Jun-25,California,CA 773,Dairy Milking Cows,Cattle,
21-May-25,Idaho,ID 110,Dairy Milking Cows,Cattle,
,,ID 111,Dairy Milking Cows,Cattle,
19-May-25,Idaho,ID 105,Dairy Milking Cows,Cattle,
,,ID 106,Dairy Milking Cows,Cattle,
,,ID 107,Dairy Milking Cows,Cattle,
,,ID 108,Dairy Milking Cows,Cattle,
,,ID 109,Dairy Milking Cows,Cattle,
12-May-25,Idaho,ID 095,Dairy Milking Cows,Cattle,
,,ID 096,Dairy Milking Cows,Cattle,
,,ID 097,Dairy Milking Cows,Cattle,
,,ID 098,Dairy Milking Cows,Cattle,
,,ID 099,Dairy Milking Cows,Cattle,
,,ID 100,Dairy Milking Cows,Cattle,
,,ID 101,Dairy Milking Cows,Cattle,
,,ID 102,Dairy Milking Cows,Cattle,
,,ID 103,Dairy Milking Cows,Cattle,
,,ID 104,Dairy Milking Cows,Cattle,
,Texas,TX 028,Dairy Milking Cows,Cattle,
,,TX 029,Dairy Milking Cows,Cattle,
07-May-25,Arizona,AZ 004,Dairy Milking Cows,Cattle,
05-May-25,Idaho,ID 091,Dairy Milking Cows,Cattle,
,,ID 092,Dairy Milking Cows,Cattle,
,,ID 093,Dairy Milking Cows,Cattle,
,,ID 094,Dairy Milking Cows,Cattle,
30-Apr-25,California,CA 764,Dairy Milking Cows,Cattle,
28-Apr-25,Idaho,ID 076,Dairy Milking Cows,Cattle,
,,ID 077,Dairy Milking Cows,Cattle,
,,ID 078,Dairy Milking Cows,Cattle,
,,ID 079,Dairy Milking Cows,Cattle,
,,ID 080,Dairy Milking Cows,Cattle,
,,ID 081,Dairy Milking Cows,Cattle,
,,ID 082,Dairy Milking Cows,Cattle,
,,ID 083,Dairy Milking Cows,Cattle,
,,ID 084,Dairy Milking Cows,Cattle,
,,ID 085,Dairy Milking Cows,Cattle,
,,ID 086,Dairy Milking Cows,Cattle,
,,ID 087,Dairy Milking Cows,Cattle,
,,ID 088,Dairy Milking Cows,Cattle,
,,ID 089,Dairy Milking Cows,Cattle,
,,ID 090,Dairy Milking Cows,Cattle,
23-Apr-25,Arizona,AZ 003,Dairy Milking Cows,Cattle,
21-Apr-25,California,CA 772,Dairy Milking Cows,Cattle,
,Idaho,ID 059,Dairy Milking Cows,Cattle,
,,ID 068,Dairy Milking Cows,Cattle,
,,ID 069,Dairy Milking Cows,Cattle,
,,ID 070,Dairy Milking Cows,Cattle,
,,ID 071,Dairy Milking Cows,Cattle,
,,ID 072,Dairy Milking Cows,Cattle,
,,ID 073,Dairy Milking Cows,Cattle,
,,ID 074,Dairy Milking Cows,Cattle,
,,ID 075,Dairy Milking Cows,Cattle,
14-Apr-25,California,CA 756,Dairy Milking Cows,Cattle,
